generation,cell,birth,white (end),green (end),round (start),cell division,cell death,cell lost,überlebt,TRAIL,video end,,
1,226.1,108,,,,,,146,5,74,193,,
1,226.2,108,,,,,,146,5,74,193,,
0,227,20,46,90,90,90,,,,74,193,,
1,227.1,90,113,,,,169,,,74,193,,
1,227.2,90,113,161,161,161,,,,74,193,,
2,227.21,161,,,,,169,,,74,193,,
2,227.22,161,,,,,169,,,74,193,,
0,228,24,42,84,84,84,,,,74,193,,
1,228.1,84,,,,,104,,,74,193,,
1,228.2,84,,,,,104,,,74,193,,
0,229,23,50,90,90,90,,,0.5,74,193,,
1,229.1,90,111,,,,147,,,74,193,,
1,229.2,90,111,175,175,175,,,1,74,193,,
2,229.21,175,,,,,,,1,74,193,,
2,229.22,175,,,,,,,1,74,193,,
0,230,11,39,75,75,75,,,,74,193,,
1,230.1,75,,,,,103,,,74,193,,
1,230.2,75,,,,,99,,,74,193,,
0,231,16,45,90,90,90,,,,74,193,,
1,231.1,90,,,,,92,,,74,193,,
1,231.2,90,,,,,92,,,74,193,,
0,232,,34,87,87,87,,,,74,193,,
1,232.1,87,,,,,103,,,74,193,,
1,232.2,87,,,,,103,,,74,193,,
0,233,,35,83,83,83,,,0.5,74,193,,
1,233.1,83,,,,,98,,,74,193,,
1,233.2,83,112,161,161,161,,,1,74,193,,
2,233.21,161,,,,,180,,1,74,193,,
2,233.22,161,,,,,180,,1,74,193,,
0,234,,34,87,87,87,,,,74,193,,
1,234.1,87,,,,,98,,,74,193,,
1,234.2,87,,,,,98,,,74,193,,
0,235,25,53,88,88,88,,,,74,193,,
1,235.1,88,117,,,,127,,,74,193,,
1,235.2,88,118,155,155,155,,,1,74,193,,
2,235.21,155,192,,,,,,1,74,193,,
2,235.22,155,,,,,,,1,74,193,,
0,236,46,73,,,,142,,,74,193,,
0,237,46,73,112,112,112,,,,74,193,,
1,237.1,112,139,,,,143,,,74,193,,
1,237.2,112,141,180,180,180,,,1,74,193,,
2,237.21,180,,,,,,,1,74,193,,
2,237.22,180,,,,,,,1,74,193,,
0,238,16,50,80,80,80,,,,74,193,,
1,238.1,80,111,,,,127,,,74,193,,
1,238.2,80,113,,,,126,,,74,193,,
0,239,,48,90,90,90,,,,74,193,,
1,239.1,90,,,,,147,,,74,193,,
1,239.2,90,,,,,147,,,74,193,,
0,240,,59,105,105,105,,,,74,193,,
1,240.1,105,,,,,138,,,74,193,,
1,240.2,105,,,,,138,,,74,193,,
0,241,,27,,,,106,,,74,193,,
0,242,,45,96,96,96,,,,74,193,,
1,242.1,96,,,,,100,,,74,193,,
1,242.2,96,,,,,122,,,74,193,,
0,243,,14,,,,87,,,74,193,,
0,245,,45,85,85,85,,,,74,193,,
1,245.1,85,108,,,,134,,,74,193,,
1,245.2,85,,,,,143,,,74,193,,
0,246,15,44,89,89,89,,,,74,193,,
1,246.1,89,,,,,98,,,74,193,,
1,246.2,89,,,,,99,,,74,193,,
0,265,32,55,,,,104,,,74,193,28.8 m,14
0,266,27,55,100,100,100,,,,74,193,,
1,266.1,100,,,,,103,,,74,193,,
1,266.2,100,,,,,103,,,74,193,,
0,267,16,35,,,,95,,,74,193,,
0,268,24,40,,,,121,,,74,193,,
0,270,20,42,85,85,85,,,,74,193,,
1,270.1,85,109,,,,116,,,74,193,,
1,270.2,85,109,,,,118,,,74,193,,
0,271,,62,97,97,97,,,,74,193,,
1,271.1,97,,,,,101,,,74,193,,
1,271.2,97,,,,,101,,,74,193,,
0,272,22,43,,,,135,,,74,193,,
0,273,,49,,,,135,,,74,193,,
0,274,9,30,88,88,88,,,1,74,193,,
1,274.1,88,110,157,157,157,,,1,74,193,,
1,274.2,88,112,153,153,153,,,1,74,193,,
2,274.21,153,174,,,,,,1,74,193,,
2,274.22,153,182,,,,,,1,74,193,,
2,274.11,157,,,,,,,1,74,193,,
2,274.12,157,,,,,,,1,74,193,,
0,275,,58,,,,101,,,74,193,,
0,276,,40,77,77,77,,,0.5,74,193,,
1,276.1,77,101,,,,133,,,74,193,,
1,276.2,77,101,143,143,143,,,1,74,193,,
2,276.21,143,,,,,174,,1,74,193,,
2,276.22,143,,,,,174,,1,74,193,,
0,277,24,45,81,81,81,,,1,74,193,,
1,277.1,81,108,148,148,148,,,1,74,193,,
1,277.2,81,121,152,152,152,,,1,74,193,,
2,277.11,148,174,,,,,,1,74,193,,
2,277.12,148,184,,,,,,1,74,193,,
2,277.21,152,,,,,174,,1,74,193,,
2,277.22,152,,,,,174,,1,74,193,,
0,278,35,69,112,112,112,,,,74,193,,
1,278.1,112,,,,,129,,,74,193,,
1,278.2,112,,,,,132,,,74,193,,
0,279,35,68,114,114,114,,,,74,193,,
1,279.1,114,,,,,137,,,74,193,,
