cell cycle,white,green (S/G2),round (M),censoring,
19.5,9.5,9.5,0.5,,
17.75,8.75,8.25,0.75,,
16.75,7.5,8.75,0.5,,
17.75,8.5,8.25,1,,
,20.75,-23.75,0,42.25,
15.5,6.25,8.5,0.75,,
32.25,17.25,14,1,,
28.25,16,11.25,1,,
17.5,7.5,9.25,0.75,,
19.5,9.75,9.25,0.5,,
20.5,9.75,10.25,0.5,,
16,9,6.25,0.75,,
17.25,7.5,9,0.75,,
16.25,8,7.5,0.75,,
16.25,7,8.5,0.75,,
16.25,6.25,9.25,0.75,,
16.75,7.5,8.75,0.5,,
15.75,7,8.25,0.5,,
13.5,5.25,7.75,0.5,,26.6a Scene 5
30.75,19,11,0.75,,
16.25,7,8.5,0.75,,
16.25,6,9.25,1,,
15,6,8.5,0.5,,
15,5.75,8.75,0.5,,
16.75,6.75,9.25,0.75,,
13.5,5.5,7.5,0.5,,
15.25,5.75,9,0.5,,
13.5,5,7.75,0.75,,
14.5,5,9,0.5,,
17.5,7.5,9.25,0.75,,
15.5,6.25,8.5,0.75,,
15,6.25,8.25,0.5,,
16.75,7.75,8.25,0.75,,
17,8.75,7.75,0.5,,
17.5,8.75,8.25,0.5,,
20,8,11.5,0.5,,
,-6.25,0,0,39,
14.75,7,7.25,0.5,,
16.75,7,9,0.75,,
18.25,8,9.75,0.5,,
17,7.5,9,0.5,,
,21.75,-28.75,0,38.25,
18.25,7.5,10.25,0.5,,
17,6,10.25,0.75,,
15.5,7,7.75,0.75,,
13,6,6.5,0.5,,27.4 Scene 1
15.75,7,8.25,0.5,,
15,6.25,7.5,1.25,,
13.25,5.25,7.5,0.5,,
13.75,5,8.25,0.5,,
20.25,10,9.5,0.75,,
14.25,5.75,8,0.5,,
19.5,10.5,8.25,0.75,,
19.25,8,10.5,0.75,,
,26,-31,0,39.25,
13.5,5.5,7.5,0.5,,
14.25,5.5,8.25,0.5,,
13.25,5.25,7.5,0.5,,
13.75,6,7.25,0.5,,
13.25,6.25,6.5,0.5,,27.4 Scene 2
12.5,4.25,7.75,0.5,,
13,6.25,6.25,0.5,,
14.75,6.5,7.75,0.5,,
14.75,5.5,9,0.25,,
13,5,7.5,0.5,,
37.75,20.75,16,1,,
,-4.5,0,0,39.75,
28.25,15,12.25,1,,
19.5,10.25,8.75,0.5,,
20.5,10.75,9,0.75,,
13.25,6,6.75,0.5,,
14,7.25,6.25,0.5,,
,-5.75,0,0,38.5,
15.75,7.25,8,0.5,,
15.5,7,8,0.5,,
14,5.75,7.75,0.5,,
18.75,8,10,0.75,,27.4 Scene 3
13.75,5.25,7.75,0.75,,
15.25,8,6.75,0.5,,
12.5,5.5,6.5,0.5,,
13.75,6.25,6.75,0.75,,
14,6.25,7.25,0.5,,
14,6.25,7.25,0.5,,
14.25,6.75,7,0.5,,
21.75,11.25,9.5,1,,
22,11,10,1,,
14.25,6.75,7,0.5,,
15,8,6.5,0.5,,
13.5,6.25,6.5,0.75,,
,-0.5,0,0,43.75,
20.75,10.25,9.75,0.75,,
17.5,8,9.25,0.25,,
,-2.25,0,0,42,
12.5,5.25,6.75,0.5,,27.4 Scene 4
22,12.5,8.75,0.75,,
13.75,6.75,6.75,0.25,,
12,5.5,6,0.5,,
12.5,5,7,0.5,,
16.75,7.75,8.5,0.5,,
16.25,7,8.75,0.5,,
13.5,5.5,7.5,0.5,,
12.5,5.25,6.75,0.5,,
14.5,5.75,8.25,0.5,,
,28.25,-31.25,0,41.25,
13.75,5.75,7.5,0.5,,
12.75,5.25,7,0.5,,
13.75,5,8.25,0.5,,
13.5,5.25,7.75,0.5,,
12.75,5,7.25,0.5,,
14.75,6.75,7.25,0.75,,
11.5,5.5,5.5,0.5,,
14.75,6.25,7.75,0.75,,27.4 Scene 5
14.25,5.5,8.25,0.5,,
19.75,12.25,6.5,1,,
15.75,8.5,6.75,0.5,,
16.5,6.75,9,0.75,,
,-4.75,0,0,39.5,
16,6.75,8.5,0.75,,
,-5.5,0,0,38.75,
14.5,6.5,7.5,0.5,,
14.75,7.5,6.75,0.5,,
15.25,6.25,8.5,0.5,,
14.5,6.25,7.75,0.5,,
17.25,8.75,7.75,0.75,,
14.75,6,8.25,0.5,,
13,5.75,6.75,0.5,,
16,7.25,8.25,0.5,,
14.25,6.25,7.5,0.5,,
16,7,8.5,0.5,,
18,8,9.5,0.5,,
17.75,8.5,8.5,0.75,,
,-5.75,0,0,38.5,
16.75,7.5,8.75,0.5,,
14,6.75,6.5,0.75,,27.4 Scene 6
11.75,5.5,5.75,0.5,,
15.75,7.75,7.25,0.75,,
13.25,7.25,5.5,0.5,,
15.5,8,7.25,0.25,,
14.5,6.5,7.25,0.75,,
14.75,6.25,7.75,0.75,,
15,7,7.25,0.75,,
,-5.75,0,0,38.5,
18.75,8,10.25,0.5,,
15.5,6.75,8.25,0.5,,
16.25,7.5,8.25,0.5,,
,0,9.25,0.5,9.75,
,0,9,0.75,9.75,
,0,8.75,0.75,9.5,
,0,8.5,0.5,9,
,0,6.25,0.75,7,
,0,8.75,0.5,9.25,
,0,7.5,0.5,8,
,0,7.25,0.75,8,
,0,11.25,1,12.25,
,0,9,0.5,9.5,26.6a Scene 2
,0,8.25,0.25,8.5,
,0,9,0.75,9.75,
,0,7,0.5,7.5,
,0,7.75,0.5,8.25,
,0,8,0.5,8.5,
,0,6,0.5,6.5,
,0,8.75,0.75,9.5,
,0,9,0.5,9.5,26.6a Scene 3
,0,8.5,0.5,9,
,0,7.5,0.5,8,
,0,13.75,0.75,14.5,
,0,8.25,0.25,8.5,
,0,7.75,0.5,8.25,
,0,8.25,0.5,8.75,
,0,7.75,0.5,8.25,26.6a Scene 5
,0,11,0.5,11.5,
,0,8.75,0.5,9.25,
,0,7.5,0.5,8,
,0,6.5,0.5,7,
,0,12,0.75,12.75,
